StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentY/N,attnCheckQ,ladderPlacement_1,perceivedPainQ,perceivedClosenessQ,extension_1,disruptive,grade,lifeHardshipMatrix_1,lifeHardshipMatrix_2,lifeHardshipMatrix_3,lifeHardshipMatrix_4,warmthComp_1,warmthComp_2,warmthComp_3,warmthComp_4,emotion_1,emotion_2,emotion_3,emotion_4,gender,age,country,country_6_TEXT,race,race_7_TEXT,ethnicity,ethnicity_5_TEXT,FL_20_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read and understand the consent form.,Where did Thomas grow up?,Please indicate where you think Thomas stands relative to other people in the United States: - Where would you place Thomas on this ladder?,"Estimate the
intensity of pain you believe Thomas is feeling due to the passing of his grandmother using a scale ranging from 1 (Not
painful) to 4 (Extremely painful).","Estimate how close you believe Thomas was to his grandmother using a scale ranging from 1 (Not
close) to 4 (Extremely close).","If you were Thomas's teacher, Mr. Johnson, how long of an extension, ranging from 0 days to 7 days, would you give Thomas on his paper? - Number of Days",Estimate how disruptive you believe the passing of Thomas’s grandma is going to be to his success,What grade do you anticipate Thomas to receive in this class?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How privileged do you think Thomas is?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How hard do you think Thomas’s life has been?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How lucky do you think Thomas has been?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How much adversity do you think Thomas has overcome?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is warm?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is friendly?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is competent?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is capable?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel pity towards Thomas?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel envy towards Thomas?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel admiration towards Thomas?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel contempt towards Thomas?,Gender:,Age (type value in years here):,What country do you currently live in? - Selected Choice,What country do you currently live in? - Other (type here): - Text,Race (check all that apply): - Selected Choice,Race (check all that apply): - Other (type here): - Text,"Are you of Hispanic, Latino, or Spanish origin? - Selected Choice","Are you of Hispanic, Latino, or Spanish origin? - Yes, another Hispanic, Latino, or Spanish origin (type here): - Text",FL_20 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID27""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_6_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_7_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_5_TEXT""}","{""ImportId"":""FL_20_DO""}"
2022-01-26 13:46:52,2022-01-26 13:48:55,1,,100,123,1,2022-01-26 13:48:56,R_1MLJdEAoHAsVjAo,,,,,39.1396942138671875,-86.51409912109375,preview,EN,1,1,3,4,4,5,4,3,1,3,2,4,4,3,2,2,4,2,2,2,2,,,,,,,,lowThomas
2022-01-28 09:16:57,2022-01-28 09:19:30,0,74.122.57.9,100,153,1,2022-01-28 09:19:30,R_277l1BEYjmbkJgA,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,1,1,6,2,3,3,2,3,3,3,2,3,3,4,4,4,3,3,4,4,2,51,4,,6,,1,,lowThomas
2022-01-28 09:16:55,2022-01-28 09:19:55,0,174.67.203.139,100,180,1,2022-01-28 09:19:55,R_2Ym6Jmbs0u3txiK,,,,,33.43389892578125,-117.622100830078125,anonymous,EN,1,1,8,3,3,7,3,1,4,1,4,1,3,4,4,4,2,1,1,1,1,32,4,,2,,1,,highThomas
2022-01-28 09:16:51,2022-01-28 09:21:34,0,174.53.182.72,100,282,1,2022-01-28 09:21:34,R_2bJYafUMpfXuncO,,,,,45.0702056884765625,-93.455596923828125,anonymous,EN,1,1,9,4,4,7,1,2,4,1,4,1,3,3,3,3,3,4,2,3,1,42,4,,6,,1,,highThomas
2022-01-28 09:18:57,2022-01-28 09:21:44,0,107.15.53.215,100,167,1,2022-01-28 09:21:44,R_3qkclpQNQ6rOS7Q,,,,,35.96099853515625,-78.92910003662109375,anonymous,EN,1,2,7,3,2,4,3,2,3,2,3,2,4,3,4,3,3,3,4,4,1,30,4,,6,,1,,lowThomas
2022-01-28 09:22:02,2022-01-28 09:24:07,0,74.122.57.171,100,125,1,2022-01-28 09:24:07,R_1DoKiE6vSuo1fA3,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,1,1,6,3,3,4,3,3,2,3,3,3,3,3,4,4,4,4,3,4,1,61,4,,6,,1,,lowThomas
2022-01-28 09:20:27,2022-01-28 09:32:37,0,161.35.139.79,100,730,1,2022-01-28 09:32:38,R_bNLVfrxkt3qyIKJ,,,,,40.836395263671875,-74.14029693603515625,anonymous,EN,1,1,8,4,4,5,3,3,4,1,4,2,3,4,3,3,4,2,2,1,1,30,4,,1,,1,,highThomas
2022-01-28 09:18:36,2022-01-28 09:32:54,0,68.54.214.71,100,858,1,2022-01-28 09:32:54,R_1f9R4YD1E5ZNMST,,,,,39.2050933837890625,-85.932403564453125,anonymous,EN,1,1,5,4,4,7,3,1,4,3,1,3,5,5,5,5,4,1,3,4,2,43,4,,5,,1,,highThomas
