StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentY/N,attnCheckQ,ladderPlacement_1,perceivedPainQ,perceivedClosenessQ,extension_1,disruptive,grade,lifeHardshipMatrix_1,lifeHardshipMatrix_2,lifeHardshipMatrix_3,lifeHardshipMatrix_4,warmthComp_1,warmthComp_2,warmthComp_3,warmthComp_4,emotion_1,emotion_2,emotion_3,emotion_4,gender,age,country,country_6_TEXT,race,race_7_TEXT,ethnicity,ethnicity_5_TEXT,FL_20_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read and understand the consent form.,Where did Thomas grow up?,Please indicate where you think Thomas stands relative to other people in the United States: - Where would you place Thomas on this ladder?,"Estimate the
intensity of pain you believe Thomas is feeling due to the passing of his grandmother using a scale ranging from 1 (Not
painful) to 4 (Extremely painful).","Estimate how close you believe Thomas was to his grandmother using a scale ranging from 1 (Not
close) to 4 (Extremely close).","If you were Thomas's teacher, Mr. Johnson, how long of an extension, ranging from 0 days to 7 days, would you give Thomas on his paper? - Number of Days",Estimate how disruptive you believe the passing of Thomas’s grandma is going to be to his success,What grade do you anticipate Thomas to receive in this class?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How privileged do you think Thomas is?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How hard do you think Thomas’s life has been?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How lucky do you think Thomas has been?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 4 (Extremely). - How much adversity do you think Thomas has overcome?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is warm?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is friendly?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is competent?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do others in society believe Thomas is capable?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel pity towards Thomas?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel envy towards Thomas?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel admiration towards Thomas?,Please answer the following questions about Thomas using a scale ranging from 1 (Not at all) to 5 (Extremely). - To what extent do you feel contempt towards Thomas?,Gender:,Age (type value in years here):,What country do you currently live in? - Selected Choice,What country do you currently live in? - Other (type here): - Text,Race (check all that apply): - Selected Choice,Race (check all that apply): - Other (type here): - Text,"Are you of Hispanic, Latino, or Spanish origin? - Selected Choice","Are you of Hispanic, Latino, or Spanish origin? - Yes, another Hispanic, Latino, or Spanish origin (type here): - Text",FL_20 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID27""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_6_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_7_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_5_TEXT""}","{""ImportId"":""FL_20_DO""}"
2022-01-26 13:46:52,2022-01-26 13:48:55,Survey Preview,,100,123,True,2022-01-26 13:48:56,R_1MLJdEAoHAsVjAo,,,,,39.1396942138671875,-86.51409912109375,preview,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Indianapolis,3,4 - Extremely painful,4 - Extremely close,5,4 - Extremely disruptive,C,"Not at all
1","Moderately
3","Slightly
2","Extremely
4","Moderately
4","Neutral
3","Slightly
2","Slightly
2","Moderately
4","Slightly
2","Slightly
2","Slightly
2",Female,,,,,,,,lowThomas
2022-01-28 09:16:57,2022-01-28 09:19:30,IP Address,74.122.57.9,100,153,True,2022-01-28 09:19:30,R_277l1BEYjmbkJgA,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Indianapolis,6,2 - Slightly painful,3 - Moderately close,3,2 - Slightly disruptive,C,"Moderately
3","Moderately
3","Slightly
2","Moderately
3","Neutral
3","Moderately
4","Moderately
4","Moderately
4","Neutral
3","Neutral
3","Moderately
4","Moderately
4",Female,51,United States,,White or Caucasian,,No,,lowThomas
2022-01-28 09:16:55,2022-01-28 09:19:55,IP Address,174.67.203.139,100,180,True,2022-01-28 09:19:55,R_2Ym6Jmbs0u3txiK,,,,,33.43389892578125,-117.622100830078125,anonymous,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Indianapolis,8,3 - Moderately painful,3 - Moderately close,7,3 - Moderately disruptive,A,"Extremely
4","Not at all
1","Extremely
4","Not at all
1","Neutral
3","Moderately
4","Moderately
4","Moderately
4","Slightly
2","Not at all
1","Not at all
1","Not at all
1",Male,32,United States,,East Asian,,No,,highThomas
2022-01-28 09:16:51,2022-01-28 09:21:34,IP Address,174.53.182.72,100,282,True,2022-01-28 09:21:34,R_2bJYafUMpfXuncO,,,,,45.0702056884765625,-93.455596923828125,anonymous,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Indianapolis,9,4 - Extremely painful,4 - Extremely close,7,1 - Not disruptive at all,B,"Extremely
4","Not at all
1","Extremely
4","Not at all
1","Neutral
3","Neutral
3","Neutral
3","Neutral
3","Neutral
3","Moderately
4","Slightly
2","Neutral
3",Male,42,United States,,White or Caucasian,,No,,highThomas
2022-01-28 09:18:57,2022-01-28 09:21:44,IP Address,107.15.53.215,100,167,True,2022-01-28 09:21:44,R_3qkclpQNQ6rOS7Q,,,,,35.96099853515625,-78.92910003662109375,anonymous,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Chicago,7,3 - Moderately painful,2 - Slightly close,4,3 - Moderately disruptive,B,"Moderately
3","Slightly
2","Moderately
3","Slightly
2","Moderately
4","Neutral
3","Moderately
4","Neutral
3","Neutral
3","Neutral
3","Moderately
4","Moderately
4",Male,30,United States,,White or Caucasian,,No,,lowThomas
2022-01-28 09:22:02,2022-01-28 09:24:07,IP Address,74.122.57.171,100,125,True,2022-01-28 09:24:07,R_1DoKiE6vSuo1fA3,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Indianapolis,6,3 - Moderately painful,3 - Moderately close,4,3 - Moderately disruptive,C,"Slightly
2","Moderately
3","Moderately
3","Moderately
3","Neutral
3","Neutral
3","Moderately
4","Moderately
4","Moderately
4","Moderately
4","Neutral
3","Moderately
4",Male,61,United States,,White or Caucasian,,No,,lowThomas
2022-01-28 09:20:27,2022-01-28 09:32:37,IP Address,161.35.139.79,100,730,True,2022-01-28 09:32:38,R_bNLVfrxkt3qyIKJ,,,,,40.836395263671875,-74.14029693603515625,anonymous,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Indianapolis,8,4 - Extremely painful,4 - Extremely close,5,3 - Moderately disruptive,C,"Extremely
4","Not at all
1","Extremely
4","Slightly
2","Neutral
3","Moderately
4","Neutral
3","Neutral
3","Moderately
4","Slightly
2","Slightly
2","Not at all
1",Male,30,United States,,Black or African American,,No,,highThomas
2022-01-28 09:18:36,2022-01-28 09:32:54,IP Address,68.54.214.71,100,858,True,2022-01-28 09:32:54,R_1f9R4YD1E5ZNMST,,,,,39.2050933837890625,-85.932403564453125,anonymous,EN,"Yes, I acknowledge that I am 18 years or older, and I understand and consent to participate in this research.",Indianapolis,5,4 - Extremely painful,4 - Extremely close,7,3 - Moderately disruptive,A,"Extremely
4","Moderately
3","Not at all
1","Moderately
3",Extremely5,Extremely5,Extremely5,Extremely5,"Moderately
4","Not at all
1","Neutral
3","Moderately
4",Female,43,United States,,South Asian,,No,,highThomas
